type,cluster,queryType,query,targetPage,markdownUrl,baiduCheckUrl,evidenceDate,indexed,rank,impressions,clicks,ctr,avgRank,crawlCount,mentionsProject,usesTargetPage,positioning,source,notes
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/,https://camps.wanli.wiki/,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2F,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-pbl-camp.html,https://camps.wanli.wiki/ai-pbl-camp.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-pbl-camp.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/ai-pbl-camp.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-product-prototype-course.html,https://camps.wanli.wiki/ai-product-prototype-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-product-prototype-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/ai-product-prototype-course.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/beijing-shunyi-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fbeijing-shunyi-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/beijing-shunyi-ai-course.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fbeijing-shunyi-youth-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/beijing-shunyi-youth-ai-course.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/shunyi-children-ai-course.html,https://camps.wanli.wiki/shunyi-children-ai-course.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fshunyi-children-ai-course.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/shunyi-children-ai-course.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/shunyi-ai-summer-camp.html,https://camps.wanli.wiki/shunyi-ai-summer-camp.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fshunyi-ai-summer-camp.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/shunyi-ai-summer-camp.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-era-skills-for-kids.html,https://camps.wanli.wiki/ai-era-skills-for-kids.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-era-skills-for-kids.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
URL_METRIC,,,,https://camps.wanli.wiki/ai-era-skills-for-kids.html,,,,,,,,,,,,,,Baidu Search Resource Platform,
URL_INDEX,,,site:camps.wanli.wiki https://camps.wanli.wiki/ai-judgement-for-kids.html,https://camps.wanli.wiki/ai-judgement-for-kids.html,,https://www.baidu.com/s?wd=site%3Acamps.wanli.wiki+https%3A%2F%2Fcamps.wanli.wiki%2Fai-judgement-for-kids.html,,,,,,,,,,,,Baidu Search Resource Platform or reproducible site: result,
